[T] Epoch [0/29] | [0/500] TRAINING loss : 2.2996 TRAINING accuracy : 0.1300
[T] Epoch [0/29] | [54/500] TRAINING loss : 2.2762 TRAINING accuracy : 0.1500
[T] Epoch [0/29] | [55/500] TRAINING loss : 2.2492 TRAINING accuracy : 0.1700
[T] Epoch [0/29] | [56/500] TRAINING loss : 2.2428 TRAINING accuracy : 0.1800
[T] Epoch [0/29] | [57/500] TRAINING loss : 2.2086 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [58/500] TRAINING loss : 2.2324 TRAINING accuracy : 0.2200
[T] Epoch [0/29] | [59/500] TRAINING loss : 2.2021 TRAINING accuracy : 0.2700
[T] Epoch [0/29] | [60/500] TRAINING loss : 2.1606 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [61/500] TRAINING loss : 2.1311 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [62/500] TRAINING loss : 2.2214 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [63/500] TRAINING loss : 2.2380 TRAINING accuracy : 0.2100
[T] Epoch [0/29] | [64/500] TRAINING loss : 2.1704 TRAINING accuracy : 0.2700
[T] Epoch [0/29] | [65/500] TRAINING loss : 2.2134 TRAINING accuracy : 0.2500
[T] Epoch [0/29] | [66/500] TRAINING loss : 2.1837 TRAINING accuracy : 0.2700
[T] Epoch [0/29] | [67/500] TRAINING loss : 2.1967 TRAINING accuracy : 0.2600
[T] Epoch [0/29] | [68/500] TRAINING loss : 2.1831 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [69/500] TRAINING loss : 2.1305 TRAINING accuracy : 0.3700
[T] Epoch [0/29] | [70/500] TRAINING loss : 2.2010 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [71/500] TRAINING loss : 2.2243 TRAINING accuracy : 0.2100
[T] Epoch [0/29] | [72/500] TRAINING loss : 2.1808 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [73/500] TRAINING loss : 2.2114 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [74/500] TRAINING loss : 2.1772 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [75/500] TRAINING loss : 2.1745 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [76/500] TRAINING loss : 2.1951 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [77/500] TRAINING loss : 2.1176 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [78/500] TRAINING loss : 2.2026 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [79/500] TRAINING loss : 2.1707 TRAINING accuracy : 0.2600
[T] Epoch [0/29] | [80/500] TRAINING loss : 2.2064 TRAINING accuracy : 0.2500
[T] Epoch [0/29] | [81/500] TRAINING loss : 2.1484 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [82/500] TRAINING loss : 2.2163 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [83/500] TRAINING loss : 2.1904 TRAINING accuracy : 0.2600
[T] Epoch [0/29] | [84/500] TRAINING loss : 2.1867 TRAINING accuracy : 0.2700
[T] Epoch [0/29] | [85/500] TRAINING loss : 2.2373 TRAINING accuracy : 0.2000
[T] Epoch [0/29] | [86/500] TRAINING loss : 2.2192 TRAINING accuracy : 0.2200
[T] Epoch [0/29] | [87/500] TRAINING loss : 2.2278 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [88/500] TRAINING loss : 2.2175 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [89/500] TRAINING loss : 2.1577 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [90/500] TRAINING loss : 2.1750 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [91/500] TRAINING loss : 2.2136 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [92/500] TRAINING loss : 2.1861 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [93/500] TRAINING loss : 2.1923 TRAINING accuracy : 0.2500
[T] Epoch [0/29] | [94/500] TRAINING loss : 2.2073 TRAINING accuracy : 0.2200
[T] Epoch [0/29] | [95/500] TRAINING loss : 2.1276 TRAINING accuracy : 0.3600
[T] Epoch [0/29] | [96/500] TRAINING loss : 2.1560 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [97/500] TRAINING loss : 2.1888 TRAINING accuracy : 0.2600
[T] Epoch [0/29] | [98/500] TRAINING loss : 2.1857 TRAINING accuracy : 0.2500
[T] Epoch [0/29] | [99/500] TRAINING loss : 2.2194 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [100/500] TRAINING loss : 2.1717 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [101/500] TRAINING loss : 2.2007 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [102/500] TRAINING loss : 2.1879 TRAINING accuracy : 0.2700
[T] Epoch [0/29] | [103/500] TRAINING loss : 2.1274 TRAINING accuracy : 0.3400
[T] Epoch [0/29] | [104/500] TRAINING loss : 2.1492 TRAINING accuracy : 0.3600
[T] Epoch [0/29] | [105/500] TRAINING loss : 2.1593 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [106/500] TRAINING loss : 2.2023 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [107/500] TRAINING loss : 2.1831 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [108/500] TRAINING loss : 2.1681 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [109/500] TRAINING loss : 2.1868 TRAINING accuracy : 0.2700
[T] Epoch [0/29] | [110/500] TRAINING loss : 2.1841 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [111/500] TRAINING loss : 2.2023 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [112/500] TRAINING loss : 2.1805 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [113/500] TRAINING loss : 2.1291 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [114/500] TRAINING loss : 2.1345 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [115/500] TRAINING loss : 2.0740 TRAINING accuracy : 0.4100
[T] Epoch [0/29] | [116/500] TRAINING loss : 2.0821 TRAINING accuracy : 0.4000
[T] Epoch [0/29] | [117/500] TRAINING loss : 2.1099 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [118/500] TRAINING loss : 2.1920 TRAINING accuracy : 0.2600
[T] Epoch [0/29] | [119/500] TRAINING loss : 2.1418 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [120/500] TRAINING loss : 2.1421 TRAINING accuracy : 0.3400
[T] Epoch [0/29] | [121/500] TRAINING loss : 2.1779 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [122/500] TRAINING loss : 2.0560 TRAINING accuracy : 0.4200
[T] Epoch [0/29] | [123/500] TRAINING loss : 2.1276 TRAINING accuracy : 0.3400
[T] Epoch [0/29] | [124/500] TRAINING loss : 2.1733 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [125/500] TRAINING loss : 2.0946 TRAINING accuracy : 0.4100
[T] Epoch [0/29] | [126/500] TRAINING loss : 2.1416 TRAINING accuracy : 0.3100
[T] Epoch [0/29] | [127/500] TRAINING loss : 2.1804 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [128/500] TRAINING loss : 2.1700 TRAINING accuracy : 0.2600
[T] Epoch [0/29] | [129/500] TRAINING loss : 2.1569 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [130/500] TRAINING loss : 2.1757 TRAINING accuracy : 0.2700
[T] Epoch [0/29] | [131/500] TRAINING loss : 2.0947 TRAINING accuracy : 0.4300
[T] Epoch [0/29] | [132/500] TRAINING loss : 2.1310 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [133/500] TRAINING loss : 2.0711 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [134/500] TRAINING loss : 2.1506 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [135/500] TRAINING loss : 2.1634 TRAINING accuracy : 0.2600
[T] Epoch [0/29] | [136/500] TRAINING loss : 2.1318 TRAINING accuracy : 0.3600
[T] Epoch [0/29] | [137/500] TRAINING loss : 2.1887 TRAINING accuracy : 0.2200
[T] Epoch [0/29] | [138/500] TRAINING loss : 2.1380 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [139/500] TRAINING loss : 2.1811 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [140/500] TRAINING loss : 2.0786 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [141/500] TRAINING loss : 2.1694 TRAINING accuracy : 0.2700
[T] Epoch [0/29] | [142/500] TRAINING loss : 2.1600 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [143/500] TRAINING loss : 2.1526 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [144/500] TRAINING loss : 2.1176 TRAINING accuracy : 0.3700
[T] Epoch [0/29] | [145/500] TRAINING loss : 2.0663 TRAINING accuracy : 0.4200
[T] Epoch [0/29] | [146/500] TRAINING loss : 2.1520 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [147/500] TRAINING loss : 2.0909 TRAINING accuracy : 0.4100
[T] Epoch [0/29] | [148/500] TRAINING loss : 2.1672 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [149/500] TRAINING loss : 2.1741 TRAINING accuracy : 0.2600
[T] Epoch [0/29] | [150/500] TRAINING loss : 2.1621 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [151/500] TRAINING loss : 2.0825 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [152/500] TRAINING loss : 2.2191 TRAINING accuracy : 0.2100
[T] Epoch [0/29] | [153/500] TRAINING loss : 2.1116 TRAINING accuracy : 0.3600
[T] Epoch [0/29] | [154/500] TRAINING loss : 2.1437 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [155/500] TRAINING loss : 2.0897 TRAINING accuracy : 0.4200
[T] Epoch [0/29] | [156/500] TRAINING loss : 2.1010 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [157/500] TRAINING loss : 2.0998 TRAINING accuracy : 0.3700
[T] Epoch [0/29] | [158/500] TRAINING loss : 2.1298 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [159/500] TRAINING loss : 2.1545 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [160/500] TRAINING loss : 2.0933 TRAINING accuracy : 0.4400
[T] Epoch [0/29] | [161/500] TRAINING loss : 2.1761 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [162/500] TRAINING loss : 2.0391 TRAINING accuracy : 0.4900
[T] Epoch [0/29] | [163/500] TRAINING loss : 2.1296 TRAINING accuracy : 0.3100
[T] Epoch [0/29] | [164/500] TRAINING loss : 2.0963 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [165/500] TRAINING loss : 2.1214 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [166/500] TRAINING loss : 2.1008 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [167/500] TRAINING loss : 2.0777 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [168/500] TRAINING loss : 2.1483 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [169/500] TRAINING loss : 2.1511 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [170/500] TRAINING loss : 2.0959 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [171/500] TRAINING loss : 2.0684 TRAINING accuracy : 0.4100
[T] Epoch [0/29] | [172/500] TRAINING loss : 2.1740 TRAINING accuracy : 0.3100
[T] Epoch [0/29] | [173/500] TRAINING loss : 2.1250 TRAINING accuracy : 0.3100
[T] Epoch [0/29] | [174/500] TRAINING loss : 2.0956 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [175/500] TRAINING loss : 2.0470 TRAINING accuracy : 0.4000
[T] Epoch [0/29] | [176/500] TRAINING loss : 2.1123 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [177/500] TRAINING loss : 2.1341 TRAINING accuracy : 0.3100
[T] Epoch [0/29] | [178/500] TRAINING loss : 2.0966 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [179/500] TRAINING loss : 2.1076 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [180/500] TRAINING loss : 2.1955 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [181/500] TRAINING loss : 2.1152 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [182/500] TRAINING loss : 2.0809 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [183/500] TRAINING loss : 2.0372 TRAINING accuracy : 0.4800
[T] Epoch [0/29] | [184/500] TRAINING loss : 2.0983 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [185/500] TRAINING loss : 2.1273 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [186/500] TRAINING loss : 2.1039 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [187/500] TRAINING loss : 2.0550 TRAINING accuracy : 0.4200
[T] Epoch [0/29] | [188/500] TRAINING loss : 2.1623 TRAINING accuracy : 0.2800
[T] Epoch [0/29] | [189/500] TRAINING loss : 2.0707 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [190/500] TRAINING loss : 2.0768 TRAINING accuracy : 0.3700
[T] Epoch [0/29] | [191/500] TRAINING loss : 2.1907 TRAINING accuracy : 0.2600
[T] Epoch [0/29] | [192/500] TRAINING loss : 2.1108 TRAINING accuracy : 0.4000
[T] Epoch [0/29] | [193/500] TRAINING loss : 2.1036 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [194/500] TRAINING loss : 2.1190 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [195/500] TRAINING loss : 2.1138 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [196/500] TRAINING loss : 2.1192 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [197/500] TRAINING loss : 2.1612 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [198/500] TRAINING loss : 2.1443 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [199/500] TRAINING loss : 2.1014 TRAINING accuracy : 0.3700
[T] Epoch [0/29] | [200/500] TRAINING loss : 2.0913 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [201/500] TRAINING loss : 2.1259 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [202/500] TRAINING loss : 2.0791 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [203/500] TRAINING loss : 2.0804 TRAINING accuracy : 0.4000
[T] Epoch [0/29] | [204/500] TRAINING loss : 2.1192 TRAINING accuracy : 0.3400
[T] Epoch [0/29] | [205/500] TRAINING loss : 2.1796 TRAINING accuracy : 0.2300
[T] Epoch [0/29] | [206/500] TRAINING loss : 2.0925 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [207/500] TRAINING loss : 2.1521 TRAINING accuracy : 0.3100
[T] Epoch [0/29] | [208/500] TRAINING loss : 2.1096 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [209/500] TRAINING loss : 2.1720 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [210/500] TRAINING loss : 2.1355 TRAINING accuracy : 0.3400
[T] Epoch [0/29] | [211/500] TRAINING loss : 2.0612 TRAINING accuracy : 0.4200
[T] Epoch [0/29] | [212/500] TRAINING loss : 2.0534 TRAINING accuracy : 0.4300
[T] Epoch [0/29] | [213/500] TRAINING loss : 2.1341 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [214/500] TRAINING loss : 2.1154 TRAINING accuracy : 0.3400
[T] Epoch [0/29] | [215/500] TRAINING loss : 2.1376 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [216/500] TRAINING loss : 2.1425 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [217/500] TRAINING loss : 2.1350 TRAINING accuracy : 0.3100
[T] Epoch [0/29] | [218/500] TRAINING loss : 2.2102 TRAINING accuracy : 0.2400
[T] Epoch [0/29] | [219/500] TRAINING loss : 2.1602 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [220/500] TRAINING loss : 2.1357 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [221/500] TRAINING loss : 2.1007 TRAINING accuracy : 0.3600
[T] Epoch [0/29] | [222/500] TRAINING loss : 2.0748 TRAINING accuracy : 0.4100
[T] Epoch [0/29] | [223/500] TRAINING loss : 2.0794 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [224/500] TRAINING loss : 2.1559 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [225/500] TRAINING loss : 2.1097 TRAINING accuracy : 0.3400
[T] Epoch [0/29] | [226/500] TRAINING loss : 2.0868 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [227/500] TRAINING loss : 2.1271 TRAINING accuracy : 0.3400
[T] Epoch [0/29] | [228/500] TRAINING loss : 2.1201 TRAINING accuracy : 0.3600
[T] Epoch [0/29] | [229/500] TRAINING loss : 2.1227 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [230/500] TRAINING loss : 2.0428 TRAINING accuracy : 0.4300
[T] Epoch [0/29] | [231/500] TRAINING loss : 2.1845 TRAINING accuracy : 0.2700
[T] Epoch [0/29] | [232/500] TRAINING loss : 2.1358 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [233/500] TRAINING loss : 2.0955 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [234/500] TRAINING loss : 2.0606 TRAINING accuracy : 0.4300
[T] Epoch [0/29] | [235/500] TRAINING loss : 2.1319 TRAINING accuracy : 0.3100
[T] Epoch [0/29] | [236/500] TRAINING loss : 2.0614 TRAINING accuracy : 0.4000
[T] Epoch [0/29] | [237/500] TRAINING loss : 2.0512 TRAINING accuracy : 0.4600
[T] Epoch [0/29] | [238/500] TRAINING loss : 2.1426 TRAINING accuracy : 0.3100
[T] Epoch [0/29] | [239/500] TRAINING loss : 2.0923 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [240/500] TRAINING loss : 2.1579 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [241/500] TRAINING loss : 2.0832 TRAINING accuracy : 0.3600
[T] Epoch [0/29] | [242/500] TRAINING loss : 2.0647 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [243/500] TRAINING loss : 2.1535 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [244/500] TRAINING loss : 2.1285 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [245/500] TRAINING loss : 2.1170 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [246/500] TRAINING loss : 2.1049 TRAINING accuracy : 0.3600
[T] Epoch [0/29] | [247/500] TRAINING loss : 2.0896 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [248/500] TRAINING loss : 2.0465 TRAINING accuracy : 0.4100
[T] Epoch [0/29] | [249/500] TRAINING loss : 2.1081 TRAINING accuracy : 0.3400
[T] Epoch [0/29] | [250/500] TRAINING loss : 2.1075 TRAINING accuracy : 0.3400
[T] Epoch [0/29] | [251/500] TRAINING loss : 2.0977 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [252/500] TRAINING loss : 2.0633 TRAINING accuracy : 0.4300
[T] Epoch [0/29] | [253/500] TRAINING loss : 2.1023 TRAINING accuracy : 0.3600
[T] Epoch [0/29] | [254/500] TRAINING loss : 2.1111 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [255/500] TRAINING loss : 2.0871 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [256/500] TRAINING loss : 2.0535 TRAINING accuracy : 0.4400
[T] Epoch [0/29] | [257/500] TRAINING loss : 2.1238 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [258/500] TRAINING loss : 2.0756 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [259/500] TRAINING loss : 2.0835 TRAINING accuracy : 0.3700
[T] Epoch [0/29] | [260/500] TRAINING loss : 2.0937 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [261/500] TRAINING loss : 2.0882 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [262/500] TRAINING loss : 2.0730 TRAINING accuracy : 0.4000
[T] Epoch [0/29] | [263/500] TRAINING loss : 2.1621 TRAINING accuracy : 0.3000
[T] Epoch [0/29] | [264/500] TRAINING loss : 2.0663 TRAINING accuracy : 0.4300
[T] Epoch [0/29] | [265/500] TRAINING loss : 2.0860 TRAINING accuracy : 0.3700
[T] Epoch [0/29] | [266/500] TRAINING loss : 2.0990 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [267/500] TRAINING loss : 2.1307 TRAINING accuracy : 0.3100
[T] Epoch [0/29] | [268/500] TRAINING loss : 2.0471 TRAINING accuracy : 0.4500
[T] Epoch [0/29] | [269/500] TRAINING loss : 2.0400 TRAINING accuracy : 0.4300
[T] Epoch [0/29] | [270/500] TRAINING loss : 2.0657 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [271/500] TRAINING loss : 2.0953 TRAINING accuracy : 0.3500
[T] Epoch [0/29] | [272/500] TRAINING loss : 2.1141 TRAINING accuracy : 0.3200
[T] Epoch [0/29] | [273/500] TRAINING loss : 2.1373 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [274/500] TRAINING loss : 2.1008 TRAINING accuracy : 0.3900
[T] Epoch [0/29] | [275/500] TRAINING loss : 2.0224 TRAINING accuracy : 0.4100
[T] Epoch [0/29] | [276/500] TRAINING loss : 2.0894 TRAINING accuracy : 0.3800
[T] Epoch [0/29] | [277/500] TRAINING loss : 2.1009 TRAINING accuracy : 0.3600
[T] Epoch [0/29] | [278/500] TRAINING loss : 2.0354 TRAINING accuracy : 0.4300
[T] Epoch [0/29] | [279/500] TRAINING loss : 2.0618 TRAINING accuracy : 0.4100
[T] Epoch [0/29] | [280/500] TRAINING loss : 2.1404 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [281/500] TRAINING loss : 2.0660 TRAINING accuracy : 0.4100
[T] Epoch [0/29] | [282/500] TRAINING loss : 2.0858 TRAINING accuracy : 0.3700
[T] Epoch [0/29] | [283/500] TRAINING loss : 2.0460 TRAINING accuracy : 0.4500
[T] Epoch [0/29] | [284/500] TRAINING loss : 2.0889 TRAINING accuracy : 0.4000
[T] Epoch [0/29] | [285/500] TRAINING loss : 2.0620 TRAINING accuracy : 0.4000
[T] Epoch [0/29] | [286/500] TRAINING loss : 2.1608 TRAINING accuracy : 0.2900
[T] Epoch [0/29] | [287/500] TRAINING loss : 2.1051 TRAINING accuracy : 0.3300
[T] Epoch [0/29] | [288/500] TRAINING loss : 2.0042 TRAINING accuracy : 0.4500
